name,filename,source,accession
USF1,wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk.narrowPeak,ENCODE,GSE32465
USF2,wgEncodeAwgTfbsSydhK562Usf2IggrabUniPk.narrowPeak,ENCODE,GSE31477
WHSC1,wgEncodeBroadHistoneK562Nsd2ab75359Pk.broadPeak,ENCODE,GSE29611
XRCC4,wgEncodeSydhTfbsK562Xrcc4StdPk.narrowPeak,ENCODE,GSE31477
YY1,wgEncodeAwgTfbsHaibK562Yy1V0416102UniPk.narrowPeak,ENCODE,GSE32465
ZBTB33,wgEncodeAwgTfbsHaibK562Zbtb33Pcr1xUniPk.narrowPeak,ENCODE,GSE32465
ZBTB7A,wgEncodeAwgTfbsHaibK562Zbtb7asc34508V0416101UniPk.narrowPeak,ENCODE,GSE32465
ZC3H11A,wgEncodeSydhTfbsK562Zc3h11anb10074650IggrabPk.narrowPeak,ENCODE,GSE31477
ZMIZ1,wgEncodeSydhTfbsK562Znfmizdcp1ab65767IggrabPk.narrowPeak,ENCODE,GSE31477
ZNF143,wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk.narrowPeak,ENCODE,GSE31477
ZNF263,wgEncodeAwgTfbsSydhK562Znf263UcdUniPk.narrowPeak,ENCODE,GSE31477
ZNF274,wgEncodeAwgTfbsSydhK562Znf274m01UcdUniPk.narrowPeak,ENCODE,GSE31477
ZNF384,wgEncodeSydhTfbsK562Znf384hpa004051IggrabPk.narrowPeak,ENCODE,GSE31477
